issue no,issue,ages,tracked link,the question it answers
01,So you want to get a dog,Usually 6-16,https://skyspeak.github.io/magazine/s/01.html,"What a dog really costs, and who does the six a.m. walk in February."
02,So you want a phone,Usually 10-13,https://skyspeak.github.io/magazine/s/02.html,"Whether they are ready to be reachable by anybody, at any hour, with no adult in the room."
03,So you want to be online,Usually 12-15,https://skyspeak.github.io/magazine/s/03.html,"Who can see them, who can message them, and what happens to all of it afterwards."
04,So you want a sleepover,Usually 6-10,https://skyspeak.github.io/magazine/s/04.html,"Whether you know this home, and whether your child has a way out they will use."
05,So you want to go on your own,Usually 8-12,https://skyspeak.github.io/magazine/s/05.html,"Whether your kid has the judgement for this particular journey, and knows what to do when it goes wrong."
06,So you want to quit,"Any age, repeatedly",https://skyspeak.github.io/magazine/s/06.html,"Which part they hate: the thing, the person, the practising, or the level. Four problems, four different fixes."
07,So you want to stay home alone,Usually 9-13,https://skyspeak.github.io/magazine/s/07.html,"Whether they know what to do about the doorbell, the alarm, the locked door, and not being able to reach you."
08,So you want your own money,Usually 7-14,https://skyspeak.github.io/magazine/s/08.html,Whether you are going to let them lose it.
09,So you want a job,Usually 13-17,https://skyspeak.github.io/magazine/s/09.html,"Whose time it is now, and what happens the first time work and school collide."
10,So you want to change how you look,Usually 10-16,https://skyspeak.github.io/magazine/s/10.html,"Whether it is reversible. If it is, why are you in the conversation at all?"
11,So you want to go out with someone,Usually 13-17,https://skyspeak.github.io/magazine/s/11.html,Whether you are someone they can report to without a scene.
