Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
What a dog really costs,https://skyspeak.github.io/magazine/social/pins/01-dog-cost.png,Money talks with kids,,"The number nobody says out loud, and the calculator that says it for you. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-01-so-you-want-a-dog.html,,"money, talks, with, kids"
The family dog agreement,https://skyspeak.github.io/magazine/social/pins/01-dog-agreement.png,Family routines,,"One page. Named jobs at named times, and a date to check it is still true. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-01-so-you-want-a-dog.html,,"family, routines"
"A phone is four decisions, not one",https://skyspeak.github.io/magazine/social/pins/02-phone-four.png,First phone,,"They arrive in one box. You can hand them over separately. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-02-a-phone.html,,"first, phone"
The one phone rule worth setting,https://skyspeak.github.io/magazine/social/pins/02-phone-rule.png,First phone,,"Frictionless on day one. Nearly impossible to introduce six months later. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-02-a-phone.html,,"first, phone"
What are you worried about?,https://skyspeak.github.io/magazine/social/pins/03-online-worry.png,Kids and screens,,"Four different fears, four different answers. The wrong one wastes the conversation. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-03-being-online.html,,"kids, and, screens"
6 questions before a sleepover,https://skyspeak.github.io/magazine/social/pins/04-sleepover-call.png,Sleepovers,,"The four minute phone call. Most parents ask these and nobody minds being asked. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-04-a-sleepover.html,,sleepovers
The sleepover code word,https://skyspeak.github.io/magazine/social/pins/04-sleepover-exit.png,Sleepovers,,"A child will use an exit they are certain costs them nothing. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-04-a-sleepover.html,,sleepovers
Before they walk it alone,https://skyspeak.github.io/magazine/social/pins/05-alone-ladder.png,Raising independent kids,,"Independence is a distance and you extend it. Rehearse the road, not the fear. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-05-going-somewhere-alone.html,,"raising, independent, kids"
Which part do they hate?,https://skyspeak.github.io/magazine/social/pins/06-quitting-four.png,Kids and activities,,"Four problems, four different fixes. I hate it is a noise, not information. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-06-quitting.html,,"kids, and, activities"
Home alone: the 4 boring emergencies,https://skyspeak.github.io/magazine/social/pins/07-home-alone.png,Raising independent kids,,"Rehearse these four, not the ones you are picturing. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-07-staying-home-alone.html,,"raising, independent, kids"
Let them buy the rubbish thing,https://skyspeak.github.io/magazine/social/pins/08-money-lose.png,Money talks with kids,,"Money only teaches when it can be lost. An allowance you top up is a lesson deleted. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-08-money-of-their-own.html,,"money, talks, with, kids"
Grows back. Washes out. Doesn't.,https://skyspeak.github.io/magazine/social/pins/10-looks-sort.png,Teenagers,,"Sort every request onto one axis and most of the argument disappears. Free to read and print, no sign-up. Written by an AI, and it says so on every page.",https://skyspeak.github.io/magazine/parents/no-10-how-they-look.html,,teenagers
